u_id,p_id,name,ccv,ccnumber,exp_date
CUST00052,PAY00052,Mary Miller,626,180040957739897,8.26
CUST00053,PAY00053,Linda Hernandez,260,6011571755221003,7.25
CUST00054,PAY00054,Peggy Sullivan,198,6011215872458128,3.27
CUST00055,PAY00055,Tanya Brown,233,36151922537211,1.26
CUST00056,PAY00056,Diana Reyes,015,4322091858963,6.25
CUST00057,PAY00057,Mary Swanson,391,3598893505139154,2.28
CUST00058,PAY00058,Alejandro Woods,314,347366888734180,11.27
CUST00059,PAY00059,Christina Campbell,109,676139343229,7.28
CUST00060,PAY00060,Eric Price,428,4192243315229258,2.3
CUST00061,PAY00061,Melissa Robles,312,2284148563100049,4.27
CUST00062,PAY00062,Kimberly Meyer,343,4200976989614616,6.25
CUST00063,PAY00063,Amanda Vargas,527,676384537368,1.26
CUST00064,PAY00064,Stephanie Frazier,901,4584471410244817,7.27
CUST00065,PAY00065,Amy King,421,213113749471086,3.26
CUST00066,PAY00066,Wayne Turner,681,6011879874265870,11.27
CUST00067,PAY00067,James Willis,782,3549608130224779,7.29
CUST00068,PAY00068,Steven Wilson,423,3573169117617864,4.26
CUST00069,PAY00069,Johnathan Hutchinson,500,4943190620416,5.26
CUST00070,PAY00070,Jacqueline Rodriguez,634,6011467780590993,6.27
CUST00071,PAY00071,Jordan Robbins,662,180053830475969,7.26
CUST00072,PAY00072,Audrey Hutchinson,273,4088061251003199,2.29
CUST00073,PAY00073,Justin Garrett,396,3534238218684004,4.28
CUST00074,PAY00074,Melissa Kelly,276,2713568600180442,6.25
CUST00075,PAY00075,Kelly Acosta,722,38194150355151,10.29
CUST00076,PAY00076,Thomas Mathis,617,3541439850796467,3.3
CUST00077,PAY00077,David Palmer,431,4750757992544337,6.25
CUST00078,PAY00078,Barbara Meadows,062,4295817075635,11.25
CUST00079,PAY00079,Joshua Holder,660,6011101864209291,2.29
CUST00080,PAY00080,Debra Luna,686,5410245088593342,5.27
CUST00081,PAY00081,Angela Alexander,983,572653559482,7.29
CUST00082,PAY00082,Adam Booker,594,3581921946327101,3.3
CUST00083,PAY00083,Christine Mills,414,2702974914956647,11.27
CUST00084,PAY00084,Veronica Evans,547,6011472428661156,10.28
CUST00085,PAY00085,Steven Rodgers,697,36418297179097,6.25
CUST00086,PAY00086,Christopher Bishop,558,4064505850442511,10.29
CUST00087,PAY00087,Carlos Rogers,910,180038464604703,3.26
CUST00088,PAY00088,Aaron Dillon,859,2281474729977390,9.29
CUST00089,PAY00089,Maria Huff,441,2265223552139598,5.25
CUST00090,PAY00090,Joshua Brown DDS,620,2240573792208847,4.26
CUST00091,PAY00091,Daniel Harris,795,3555954323486804,5.27
CUST00092,PAY00092,Michael Foster,151,4047286067920530,5.28
CUST00093,PAY00093,Jeremiah Thomas,479,4667183072317381,10.28
CUST00094,PAY00094,Parker Johnson,311,3545876946477204,7.29
CUST00095,PAY00095,Leah Hooper,497,30163088426267,4.28
CUST00096,PAY00096,Robert Harris,600,4545925815600335,11.26
CUST00097,PAY00097,Laura Scott,652,376939175318596,2.3
CUST00098,PAY00098,Taylor Hernandez,821,6011385495070509,8.26
CUST00099,PAY00099,Jordan Harris,791,374123034857928,11.27
CUST00100,PAY00100,Christina Harris,046,3506049639437292,11.29
CUST00101,PAY00101,Bryan Alvarez,907,180035490311220,7.26
CUST00102,PAY00102,Jeffrey Stewart,954,2271991305031336,8.27
CUST00103,PAY00103,Norman Reed,622,4434075946241,4.28
CUST00104,PAY00104,Mason Watkins,881,346336099965858,11.28
CUST00105,PAY00105,Joshua Gomez,083,4939548722585664,5.26
CUST00106,PAY00106,Russell Massey,726,571581912037,2.26
CUST00107,PAY00107,Nicholas Gibson,306,4682242745143623,10.26
CUST00108,PAY00108,Andrew Robertson,436,4766396558239297,1.29
CUST00109,PAY00109,Pamela Gonzalez,261,4559937360231484,8.25
CUST00110,PAY00110,Ryan Zuniga,092,4349192738538252,8.26
CUST00111,PAY00111,Jennifer Taylor,164,343701945602018,2.3
CUST00112,PAY00112,Jeffrey Bruce,056,4823218171768,11.25
CUST00113,PAY00113,Deanna Gonzalez,217,346624737302240,7.28
CUST00114,PAY00114,Dr. Sylvia Hamilton,206,377857665614622,11.25
CUST00115,PAY00115,Michael Ortiz,931,3597935018843599,9.26
CUST00116,PAY00116,Brian Allen,272,180006629733063,9.28
CUST00117,PAY00117,Julie Douglas,437,4125605612317931,2.26
CUST00118,PAY00118,Robert Murphy,507,213166006089587,3.27
CUST00119,PAY00119,Christian Edwards,888,36499731637932,2.28
CUST00120,PAY00120,Leslie Higgins,843,4633506429553726,1.3
CUST00121,PAY00121,April Hall,295,502087937673,7.26
CUST00122,PAY00122,Dr. Dylan Ellison MD,475,373995551074008,7.28
CUST00123,PAY00123,Angela Williams,438,3556584986685969,3.26
CUST00124,PAY00124,Tyler Acosta,014,6011663584525256,11.28
CUST00125,PAY00125,Joshua Barton,678,4014738062420428,3.26
CUST00126,PAY00126,Theodore Smith,674,6011108035216451,5.28
CUST00127,PAY00127,Stacey Lewis,461,4549367962095330,5.27
CUST00128,PAY00128,Rachel Owens MD,391,4432722893488856,5.26
CUST00129,PAY00129,Eric Brown,303,4585632013372938,7.27
CUST00130,PAY00130,Abigail Keller,791,213126499708788,8.29
CUST00131,PAY00131,Teresa Chapman,881,4148029127412576,5.29
CUST00132,PAY00132,Christian Scott,066,3585313200177370,9.25
CUST00133,PAY00133,Jordan Allen,790,4037239347105,1.29
CUST00134,PAY00134,Austin Rodriguez,186,4235329664417773,4.26
CUST00135,PAY00135,Luis Hurley,175,4146679138719645,3.29
CUST00136,PAY00136,Marc White,357,4313455500623582,12.25
CUST00137,PAY00137,Tamara Michael,283,3598272760084522,10.26
CUST00138,PAY00138,Carrie Jones,181,3587768992309192,8.25
CUST00139,PAY00139,Paul Carson,771,630413963871,10.26
CUST00140,PAY00140,Beth Ward,997,342640681624748,10.26
CUST00141,PAY00141,Kristina Ballard,511,30476864641341,5.27
CUST00142,PAY00142,Susan Mckee,137,4225244509421678,9.25
CUST00143,PAY00143,Jenna Alexander,080,2405683996028791,7.28
CUST00144,PAY00144,Joseph Lopez,953,213114557314483,3.27
CUST00145,PAY00145,Jose Bright,521,4921749643915,10.26
CUST00146,PAY00146,Karen Morgan,041,3514746764882628,8.25
CUST00147,PAY00147,Tina Bauer,161,180060545469732,6.25
CUST00148,PAY00148,Sarah Smith,624,30000650400504,10.25
CUST00149,PAY00149,Paula Hernandez,061,4485661267697337,6.26
CUST00150,PAY00150,Suzanne Rogers,469,4256478904704503,10.27
CUST00151,PAY00151,Brandon Bolton,711,372560489586449,9.29
CUST00152,PAY00152,Richard Roy,885,2705348985282927,10.29
CUST00153,PAY00153,Vanessa King,989,6548374364543020,7.26
CUST00154,PAY00154,Joseph Bennett,559,4831921469260149,9.27
CUST00155,PAY00155,Wayne Smith,177,3588473460633285,8.25
CUST00156,PAY00156,Jonathon Price,214,502040671252,10.26
CUST00157,PAY00157,Norma Smith,015,4445101402431325,4.3
CUST00158,PAY00158,Jacqueline Casey,977,4654188311397206,7.28
CUST00159,PAY00159,Mr. Alexander Lopez,408,5588721628735367,10.25
CUST00160,PAY00160,Joseph West,520,4773901487344687,6.28
CUST00161,PAY00161,Matthew Ruiz,370,3599813378176132,8.27
CUST00162,PAY00162,Timothy Richardson,665,2441243088890040,11.27
CUST00163,PAY00163,Madeline Smith,906,4345099910997814,4.27
CUST00164,PAY00164,Carrie Stanley,206,343184134393253,4.28
CUST00165,PAY00165,Brett Morales,837,675943999440,1.26
CUST00166,PAY00166,Tanner Simmons,179,4912988822605425,5.27
CUST00167,PAY00167,Michael Bradley,033,5518219110709359,9.29
CUST00168,PAY00168,Mrs. Haley Hodges,019,2717207324230698,5.29
CUST00169,PAY00169,Alexander Madden,059,36237462188380,6.26
CUST00170,PAY00170,Mercedes Zimmerman,508,3525451135724495,10.25
CUST00171,PAY00171,Elizabeth Jenkins,529,180003768468015,3.27
CUST00172,PAY00172,Paul Raymond,287,30507074874031,11.27
CUST00173,PAY00173,Bonnie Black,734,4739817071555053,2.29
CUST00174,PAY00174,Derrick Graves,458,180001541408639,9.28
CUST00175,PAY00175,Aaron Johnson,197,2224256037364571,11.26
CUST00176,PAY00176,Danielle Mckinney,855,3580840251838646,2.28
CUST00177,PAY00177,Courtney Boyd,406,6011211886547840,11.29
CUST00178,PAY00178,Roger Sampson,257,4183289016432585,10.27
CUST00179,PAY00179,Devin Ward DDS,191,6011201108534486,10.25
CUST00180,PAY00180,Russell Lopez,898,349138503411231,10.26
CUST00181,PAY00181,Madison Flowers,324,4983784773647208,1.27
CUST00182,PAY00182,Zachary Williamson,293,4002284369538988,4.26
CUST00183,PAY00183,Jennifer Wilson,774,6525370497597674,6.28
CUST00184,PAY00184,Larry Gonzalez,346,4161719989672422,4.3
CUST00185,PAY00185,Xavier Leon,349,3554429165789384,8.27
CUST00186,PAY00186,Johnny Mcdonald,415,3549811658698362,2.27
CUST00187,PAY00187,Shawn Solis,946,502033868915,4.3
CUST00188,PAY00188,Stephen Andrews,328,3554276185834991,5.25
CUST00189,PAY00189,Kayla Thomas,974,5322661362508847,9.29
CUST00190,PAY00190,Dale Reeves,471,4323722384791,6.27
CUST00191,PAY00191,Victoria Zamora,682,4456157066521336,5.29
CUST00192,PAY00192,Heather Rubio,903,36623235647978,4.26
CUST00193,PAY00193,Stephanie Case,215,3569713339691821,1.27
CUST00194,PAY00194,Stacie Lowe,407,3549672433988357,11.26
CUST00195,PAY00195,Chris Huang,053,6573914849313214,10.28
CUST00196,PAY00196,Dr. Paul Ortega DDS,599,4816192543838605,10.25
CUST00197,PAY00197,Jacob Horn,546,3595279197799179,8.28
CUST00198,PAY00198,Dr. Angela Moore,266,675902378867,12.26
CUST00199,PAY00199,Mary Anderson,310,676321299122,4.3
CUST00200,PAY00200,Daniel Montgomery,683,213130679571974,8.27
CUST00201,PAY00201,Justin Smith,885,4777836198173611,7.26
CUST00202,PAY00202,Anthony Morrison,471,4937951991628649,8.25
CUST00203,PAY00203,Summer Brooks,080,341181074481181,12.28
CUST00204,PAY00204,Michael Lopez,521,4174493285670203,6.28
CUST00205,PAY00205,Erica Kirk,049,585202260907,4.3
CUST00206,PAY00206,James Rogers,846,349924531710573,9.26
CUST00207,PAY00207,Tony Conner,772,4759542142721,4.26
CUST00208,PAY00208,Paige Wiggins,182,30548425377555,6.28
CUST00209,PAY00209,Andrea Fernandez,845,3511169332146892,2.28
CUST00210,PAY00210,Vincent Spencer,656,4349456038220,8.27
CUST00211,PAY00211,Albert Porter,893,060427914837,3.3
CUST00212,PAY00212,Brian Elliott,790,3594689136741580,6.29
CUST00213,PAY00213,Lindsey Leonard,734,4964642364148,12.28
CUST00214,PAY00214,Patricia Martinez,009,4980140012497297,7.28
CUST00215,PAY00215,Victoria Gibson,375,4844084638558524,7.25
CUST00216,PAY00216,Patricia Thomas,401,4819266450520796,2.26
CUST00217,PAY00217,Timothy Price,213,4889677187978161,6.26
CUST00218,PAY00218,Christine Peterson,306,4392836470490819,1.26
CUST00219,PAY00219,Belinda Everett,382,180046420857166,12.26
CUST00220,PAY00220,Caroline Morse,630,213167396439713,7.29
CUST00221,PAY00221,William Brown,037,4089627040591276,5.27
CUST00222,PAY00222,Sheryl Smith,094,30141856224171,9.25
CUST00223,PAY00223,Annette Mcdonald DVM,615,589178867109,9.25
CUST00224,PAY00224,Melissa Dunlap,835,2293886053550293,1.26
CUST00225,PAY00225,John Lee,466,5273444365856094,9.29
CUST00226,PAY00226,Terri Harrington,121,36210940710034,5.26
CUST00227,PAY00227,Gregory Jackson,307,4412920349076,9.28
CUST00228,PAY00228,Olivia Schmitt,703,4675289873932,1.26
CUST00229,PAY00229,Bob David,360,213116793860427,2.29
CUST00230,PAY00230,Richard Tucker,574,378714438499915,8.28
CUST00231,PAY00231,Rachel Tate,166,4057023395368992,9.28
CUST00232,PAY00232,Frank Young,910,5231921556972856,1.26
CUST00233,PAY00233,James Bailey,150,4682973507651,9.29
CUST00234,PAY00234,Gina Moody,498,180056845026289,3.26
CUST00235,PAY00235,Paula Carpenter,275,4954414491211318,4.26
CUST00236,PAY00236,Michelle Henson,844,2281360016864518,12.27
CUST00237,PAY00237,Matthew Powell,058,4994502465256527,3.26
CUST00238,PAY00238,Thomas Robbins,779,2281788611205507,8.28
CUST00239,PAY00239,Alexandra Martin,217,6597425005170035,5.28
CUST00240,PAY00240,Taylor Smith,139,2284394955533344,10.27
CUST00241,PAY00241,Cheryl Ford,888,30256969743196,4.3
CUST00242,PAY00242,James Bailey,643,4552697133649,3.3
CUST00243,PAY00243,Thomas Gonzales,928,379521919635688,10.25
CUST00244,PAY00244,Sarah Carter,660,5423982631657829,7.29
CUST00245,PAY00245,Cynthia Stevenson,259,38076704447917,2.26
CUST00246,PAY00246,Pamela Fields,151,676333555123,12.26
CUST00247,PAY00247,Renee Galvan,199,3579873841190551,1.29
CUST00248,PAY00248,April Miles,021,4635617162291,4.28
CUST00249,PAY00249,Robert Gibson,387,38360219914367,7.26
CUST00250,PAY00250,Susan Robinson,520,4857443107474676,7.27
CUST00251,PAY00251,Aaron Gutierrez,579,4734937748267325,10.27
CUST00252,PAY00252,Marcus Yoder,662,6560208297134148,10.28
CUST00253,PAY00253,Madison Ross,690,3555174876186988,10.25
CUST00254,PAY00254,Christine Garza,491,6011627271050720,5.28
CUST00255,PAY00255,Candice Martinez,787,4923328730838555,4.26
CUST00256,PAY00256,Thomas Ford,532,4073146294750703,2.29
CUST00257,PAY00257,Jonathan Becker,208,38713561965645,3.26
CUST00258,PAY00258,Melissa Powers,113,3504390221528680,9.27
CUST00259,PAY00259,Vanessa Campbell,838,4123824453089630,5.28
CUST00260,PAY00260,Nathan Evans,637,4401334421421611,7.29
CUST00261,PAY00261,Cynthia Dawson,471,3507962999113585,4.28
CUST00262,PAY00262,Michele Stewart,993,5129634232971987,7.26
CUST00263,PAY00263,Christine Wall,680,213157907093299,7.29
CUST00264,PAY00264,Christine Mcdonald,961,4181711432746603,8.26
CUST00265,PAY00265,Jeffrey Wilson,184,213139584153398,5.27
CUST00266,PAY00266,Kevin Gibson,223,4502540587808697,5.26
CUST00267,PAY00267,Marilyn Keller,450,2704150551468232,10.25
CUST00268,PAY00268,Mary Gill,437,4922053151986235,3.26
CUST00269,PAY00269,Sharon Decker,259,4368956780575024,5.29
CUST00270,PAY00270,Kimberly Adams,155,6547143849978924,4.26
CUST00271,PAY00271,Kelly Tran,980,501890632620,8.29
CUST00272,PAY00272,Sarah Bates,951,4784996899022,4.28
CUST00273,PAY00273,Christine Bryant,275,4167074364052483,7.28
CUST00274,PAY00274,Jeanette Johnson,368,180097639702792,10.26
CUST00275,PAY00275,Emily Black,616,3598241646716821,5.25
CUST00276,PAY00276,Christopher Graham,192,6577780964271982,4.28
CUST00277,PAY00277,Christopher Fisher,106,502079626664,8.28
CUST00278,PAY00278,Robert Collins,240,3598293500948222,12.27
CUST00279,PAY00279,Jared Johnson,623,4603998952849105,2.28
CUST00280,PAY00280,Jeanne Brewer,458,3596692707145973,3.27
CUST00281,PAY00281,Diana Carter,174,3553861630566735,2.27
CUST00282,PAY00282,Fernando Smith,199,2707274727729116,9.27
CUST00283,PAY00283,Kevin Dominguez,024,4240463696380155,10.26
CUST00284,PAY00284,Christine Harris,830,370907136723010,7.27
CUST00285,PAY00285,Derek Long,640,3564665808464780,5.29
CUST00286,PAY00286,Joshua Miller,986,4211225024458200,12.26
CUST00287,PAY00287,Tammy Garcia DDS,871,4544377270759605,8.29
CUST00288,PAY00288,Sarah Bowen,967,3596780272917312,1.29
CUST00289,PAY00289,Mr. William Donovan,860,30171191071425,5.27
CUST00290,PAY00290,Steven Anderson,526,4354381200002,9.26
CUST00291,PAY00291,Kristen Ward,526,4004420350184329,7.26
CUST00292,PAY00292,Rhonda Davies,518,4772795744339803,3.27
CUST00293,PAY00293,Phyllis Stephens,307,2232682421038580,8.28
CUST00294,PAY00294,Deanna Anderson,520,213138781478392,10.26
CUST00295,PAY00295,Shawn Larson,996,4858735527119008,3.27
CUST00296,PAY00296,Joanna Parker,140,4049297408836370,4.29
CUST00297,PAY00297,Tara Coleman,961,4948525216503386,7.26
CUST00298,PAY00298,Donald Murphy,572,4478174366967,12.27
CUST00299,PAY00299,Patricia Garcia,181,589825004593,5.27
CUST00300,PAY00300,Mr. Joshua Fisher DDS,920,36637637036689,4.29
CUST00301,PAY00301,Christopher Lewis,330,060414832588,3.26
CUST00302,PAY00302,Diane Eaton,136,4071641088738726,3.27
CUST00303,PAY00303,Laura Wilson,863,38177241828559,8.26
CUST00304,PAY00304,Heather Gaines,821,4228114023977504,1.27
CUST00305,PAY00305,Sean Miller,177,38850783164365,6.28
CUST00306,PAY00306,William Collins,472,3503454386877778,12.26
CUST00307,PAY00307,Kevin Decker,074,4944900398558,5.27
CUST00308,PAY00308,Rita Blake,534,4238490585876419,5.29
CUST00309,PAY00309,Angela Villegas,442,378309646260074,8.28
CUST00310,PAY00310,April Green,374,566311867576,6.26
CUST00311,PAY00311,Brittany Ware,551,4702364496244180,5.26
CUST00312,PAY00312,Amy Patterson,278,6011672385265418,1.26
CUST00313,PAY00313,Zachary Tran,811,6530773953312780,2.27
CUST00314,PAY00314,Michael Casey,494,213132019497605,12.28
CUST00315,PAY00315,Brandon Middleton,188,2720701737631851,9.26
CUST00316,PAY00316,Joseph Lindsey,238,378561975425658,5.25
CUST00317,PAY00317,Kirsten Garner,432,345477769443239,9.28
CUST00318,PAY00318,Robert Vasquez,750,6570584456921584,2.29
CUST00319,PAY00319,Kathryn Thomas,935,2236205505537495,3.26
CUST00320,PAY00320,Allison Reid,195,180027484746347,7.27
CUST00321,PAY00321,Andrea Gardner,670,4205427087809710,8.25
CUST00322,PAY00322,Luke Knight,503,3539454671960113,10.25
CUST00323,PAY00323,Angela Garza,677,30518351804435,1.27
CUST00324,PAY00324,Elizabeth Williams,167,3546081489915707,10.25
CUST00325,PAY00325,Taylor Watson,424,4973140406749,11.26
CUST00326,PAY00326,Justin Marshall,253,342313451050417,8.29
CUST00327,PAY00327,Monica Wade,410,348002841369785,9.28
CUST00328,PAY00328,Nicole Murray,505,3556620802638228,9.29
CUST00329,PAY00329,Brittany Smith,752,4098748796938727,1.3
CUST00330,PAY00330,Jonathan Castro,049,372377859499628,4.28
CUST00331,PAY00331,George Gallegos,688,4584006019565,9.27
CUST00332,PAY00332,Sherry Arnold,000,4204709099091,6.28
CUST00333,PAY00333,Ashley Williams,060,30265289592050,3.27
CUST00334,PAY00334,Curtis Campbell,590,4087471382776004,7.29
CUST00335,PAY00335,Veronica Gardner,271,4811073647780566,12.28
CUST00336,PAY00336,Theodore Jackson,753,2404734469277976,8.28
CUST00337,PAY00337,Lisa Baker,391,4933690284402130,7.28
CUST00338,PAY00338,Mr. Taylor Mooney,883,378639937216785,12.27
CUST00339,PAY00339,Kimberly Jordan,747,4106170669565943,3.3
CUST00340,PAY00340,Douglas Brown,251,4644679529561214,8.26
CUST00341,PAY00341,Christine Williams,189,6562445908572211,8.25
CUST00342,PAY00342,Thomas Howard,557,3598383086951128,10.26
CUST00343,PAY00343,John Walker,965,3562175085756496,6.29
CUST00344,PAY00344,April Trevino,653,3524318522460424,4.28
CUST00345,PAY00345,Elijah Yates,134,4718664406785442,6.26
CUST00346,PAY00346,Jill Ortiz,770,4307529327941654,5.26
CUST00347,PAY00347,Becky Neal,342,213108248305082,3.28
CUST00348,PAY00348,Michael Torres,731,3549403415735768,9.29
CUST00349,PAY00349,Kimberly Odonnell,430,180074082604767,5.27
CUST00350,PAY00350,Jamie Miller,078,4263578872061725,9.29
CUST00351,PAY00351,William Klein,345,4576929944797592,7.28
CUST00352,PAY00352,Jeremy Holden,217,4928329837016892,6.26
CUST00353,PAY00353,Dustin Stone,772,4929301629024,4.26
CUST00354,PAY00354,Sally Roth,262,4688478743258716,8.26
CUST00355,PAY00355,Randy Hinton,804,5408924248914283,4.28
CUST00356,PAY00356,Daniel Roberts,328,2259223071713897,10.29
CUST00357,PAY00357,Briana Brown,920,377247580922260,12.29
CUST00358,PAY00358,Jesus Gordon,007,4006973766404184,5.29
CUST00359,PAY00359,Lisa Jackson,454,4250188574864,10.25
CUST00360,PAY00360,Mary Bolton,957,5369657670118331,8.25
CUST00361,PAY00361,David Clark,255,5395176186985404,2.29
CUST00362,PAY00362,Sarah Deleon,855,213192167436763,10.28
CUST00363,PAY00363,Jeff Burns,090,3598503106514255,7.26
CUST00364,PAY00364,Teresa Wade,802,4652834309258577,5.27
CUST00365,PAY00365,Charles Barry,707,3518676595774478,5.27
CUST00366,PAY00366,Dorothy Jenkins,212,4903308129307739,11.25
CUST00367,PAY00367,Jamie Wang,573,213122882503241,1.27
CUST00368,PAY00368,Kimberly Charles,766,574087955930,7.28
CUST00369,PAY00369,Melissa Mayo,969,4846919194906583,12.27
CUST00370,PAY00370,Megan Lucas,463,4425788713015539,12.29
CUST00371,PAY00371,Veronica Dixon,124,6011686807318399,5.26
CUST00372,PAY00372,Brittany Gibson,938,3587568578728306,12.26
CUST00373,PAY00373,Nicholas Gonzales,126,6011557691489309,12.27
CUST00374,PAY00374,Joseph Young,617,4867627306646781,7.26
CUST00375,PAY00375,Christopher Rodriguez,015,343665612182176,10.26
CUST00376,PAY00376,Jeremy Hardy,388,4676955262466881,7.28
CUST00377,PAY00377,Megan Haynes,026,4742560342168208,1.3
CUST00378,PAY00378,Dylan Adams,625,4387518025963444,4.28
CUST00379,PAY00379,Thomas Macdonald,323,4670086702410408,5.26
CUST00380,PAY00380,Daniel Robbins,537,36096164068195,2.27
CUST00381,PAY00381,Joseph Lowery,706,3538706568365156,11.25
CUST00382,PAY00382,Ashley Forbes,258,4049682435933952,3.3
CUST00383,PAY00383,Sean Collins,576,5287576169111855,3.27
CUST00384,PAY00384,Michael Kelley,286,4858060529601163,12.28
CUST00385,PAY00385,Nicole Day,813,38637247330496,2.29
CUST00386,PAY00386,Angela Copeland,159,38143718643533,2.27
CUST00387,PAY00387,Sherry Richardson,381,4428303037567,6.26
CUST00388,PAY00388,Brandon Frank,534,6534061171666674,1.27
CUST00389,PAY00389,Charles Roy,016,4956193024282611,9.28
CUST00390,PAY00390,Emily Brown MD,750,6557012026586064,9.29
CUST00391,PAY00391,Jacob Moore,147,213101995342895,1.26
CUST00392,PAY00392,Melinda Beard,173,3544749428351778,12.26
CUST00393,PAY00393,Daniel Bright,887,346995273785919,12.27
CUST00394,PAY00394,Roy Cobb,677,639032218062,2.28
CUST00395,PAY00395,Thomas Raymond,925,4441871278443606,12.25
CUST00396,PAY00396,Tina Massey,095,4065544735591837,6.29
CUST00397,PAY00397,Steven Miller,122,38661043101125,4.3
CUST00398,PAY00398,Collin Martin,978,213104148567780,6.29
CUST00399,PAY00399,Angelica Ray,336,676332877023,7.26
CUST00400,PAY00400,Richard Acevedo,504,3532746924802696,6.29
CUST00401,PAY00401,Joseph Blake,321,30397031570835,12.27
CUST00402,PAY00402,Andrew Torres,540,30088536813792,7.27
CUST00403,PAY00403,Crystal Padilla,016,213138458684207,6.25
CUST00404,PAY00404,Kevin Phillips,590,4565349509891,11.26
CUST00405,PAY00405,Joy Smith,596,6011352503774969,5.3
CUST00406,PAY00406,Julie Logan,768,4403996779270,4.3
CUST00407,PAY00407,Alexandra Johnson,454,675907093636,11.27
CUST00408,PAY00408,Brent Walker,375,30323118708734,9.26
CUST00409,PAY00409,Matthew Campbell,222,4716941835849557,10.27
CUST00410,PAY00410,Amy Foster,641,213104096092773,9.28
CUST00411,PAY00411,Miss Jessica Walker MD,540,2222815674354450,9.25
CUST00412,PAY00412,Nathan Davis,366,4713897601207574,12.27
CUST00413,PAY00413,Mr. Adam Fisher DDS,535,30507046856454,11.29
CUST00414,PAY00414,Mary Romero,335,347967920248574,5.26
CUST00415,PAY00415,Jessica Wright,612,2230360265860755,1.28
CUST00416,PAY00416,Jennifer Zimmerman,674,3543987252593401,6.26
CUST00417,PAY00417,Megan Davis,989,675990980152,7.25
CUST00418,PAY00418,Lisa Dixon,811,3528644288943717,6.28
CUST00419,PAY00419,Gabriel King,050,4186388716759093,5.29
CUST00420,PAY00420,Jessica Collins,494,501820323415,9.29
CUST00421,PAY00421,Gilbert Baker,083,3583377782976782,6.28
