u_id,log_id,sp_id,sp_shop_id,order_id,status,date,address,payer_id,pay_id,pay_amount,refer_id,coupon,amount
CUST00506,LOGI0001,P00080,SHOP0445,ORD00040,refunded,2025-02-27,"Unit 0491 Box 8344, DPO AA 88673",CUST00506,PAY00506,259,,DISC10,2
CUST00956,LOGI0027,P00266,SHOP0132,ORD00041,carted,2025-03-06,"25139 Hays Oval Suite 705, Newmanton, ME 20240",CUST00956,PAY00956,129,AFF00172,DISC10,3
CUST00347,LOGI0030,P00859,SHOP0200,ORD00042,completed,2025-04-30,"730 Duran Keys Apt. 521, West Gabriel, MH 58621",CUST00347,PAY00347,216,,WELCOME5,4
CUST00332,LOGI0035,P00712,SHOP0146,ORD00043,cancelled,2025-04-03,"8833 Arias Courts Apt. 625, Karenstad, VT 91607",CUST00332,PAY00332,50,,,5
CUST00877,LOGI0014,P00707,SHOP0114,ORD00044,carted,2025-02-11,"839 Felicia Glen Apt. 241, Kingshire, MP 60001",CUST00877,PAY00877,381,AFF00276,,3
CUST00018,LOGI0015,P00660,SHOP0183,ORD00045,completed,2025-01-17,"82523 Amy Ferry, Lake Scott, MA 14181",CUST00018,PAY00018,414,,,4
CUST00383,LOGI0027,P00743,SHOP0184,ORD00046,carted,2025-02-08,"22670 Anderson Drive, Clarkton, HI 96925",CUST00383,PAY00383,340,,WELCOME5,4
CUST00815,LOGI0012,P00431,SHOP0006,ORD00047,refunded,2025-02-18,"7699 Erica Vista, New Andrewmouth, FL 21541",CUST00815,PAY00815,357,,DISC10,2
CUST00752,LOGI0039,P00350,SHOP0114,ORD00048,cancelled,2025-01-08,"6303 Calvin Divide, North Jorgefurt, WI 84074",CUST00752,PAY00752,139,,WELCOME5,2
CUST00822,LOGI0045,P00516,SHOP0176,ORD00049,carted,2025-01-06,"43068 Castillo Mews Suite 754, Davidport, VT 79441",CUST00822,PAY00822,336,,WELCOME5,5
CUST00094,LOGI0049,P00426,SHOP0030,ORD00050,cancelled,2025-03-16,"61102 Chad Lane Suite 684, Jamesbury, MT 14856",CUST00094,PAY00094,234,,WELCOME5,5
CUST00338,LOGI0013,P00535,SHOP0279,ORD00051,carted,2025-04-30,"29748 Murray Extension, Stevensside, MH 04964",CUST00338,PAY00338,329,,,3
CUST00873,LOGI0039,P00042,SHOP0324,ORD00052,carted,2025-03-23,"244 Kimberly Junctions, Meadowsland, AL 21547",CUST00873,PAY00873,66,,WELCOME5,4
CUST00853,LOGI0023,P00589,SHOP0061,ORD00053,refunded,2025-02-18,"4834 Cervantes Circles Apt. 952, South Jenniferborough, RI 03856",CUST00853,PAY00853,252,,WELCOME5,4
CUST00111,LOGI0044,P00468,SHOP0240,ORD00054,completed,2025-04-25,"520 Harris View Apt. 516, North Lisaland, UT 83626",CUST00111,PAY00111,17,,WELCOME5,3
CUST00537,LOGI0024,P00111,SHOP0064,ORD00055,cancelled,2025-03-16,"164 Emma Shores Apt. 587, Bellchester, CT 82479",CUST00537,PAY00537,13,AFF00181,,1
CUST00090,LOGI0024,P00358,SHOP0481,ORD00056,cancelled,2025-03-30,"584 Carroll Ville, Katherineborough, WV 75927",CUST00090,PAY00090,354,,,1
CUST00167,LOGI0016,P00412,SHOP0405,ORD00057,cancelled,2025-03-28,"394 Martinez Glen, Port Rebeccafurt, GA 25850",CUST00167,PAY00167,30,AFF00237,,2
CUST00548,LOGI0039,P00899,SHOP0440,ORD00058,refunded,2025-02-28,"63830 Fisher Forges, East Duane, VT 79688",CUST00548,PAY00548,187,,,2
CUST00222,LOGI0049,P00274,SHOP0470,ORD00059,refunded,2025-04-17,"437 Sarah Path, West Laurie, SC 15852",CUST00222,PAY00222,88,,,1
CUST00997,LOGI0026,P00675,SHOP0359,ORD00060,completed,2025-03-21,"3209 Lawrence Inlet, Williamsmouth, AL 76504",CUST00997,PAY00997,137,,DISC10,5
CUST00345,LOGI0018,P00982,SHOP0183,ORD00061,cancelled,2025-04-26,"40211 Hudson Centers, Cameronshire, VA 46213",CUST00345,PAY00345,179,,,5
CUST00744,LOGI0027,P00645,SHOP0142,ORD00062,completed,2025-01-12,"672 Jason Knolls Suite 194, Andersonport, RI 10052",CUST00744,PAY00744,125,AFF00063,DISC10,4
CUST00757,LOGI0038,P00502,SHOP0203,ORD00063,cancelled,2025-01-25,"4162 Carlos Rue, Port Emily, NV 82076",CUST00757,PAY00757,152,,WELCOME5,4
CUST00031,LOGI0014,P00656,SHOP0196,ORD00064,refunded,2025-02-10,"43063 Christopher Via Suite 079, Deckerton, MS 70317",CUST00031,PAY00031,190,,DISC10,3
CUST00703,LOGI0046,P00686,SHOP0177,ORD00065,refunded,2025-04-01,"733 Henderson Spring Apt. 271, West Nathanielfurt, HI 19722",CUST00703,PAY00703,27,,DISC10,5
CUST00430,LOGI0035,P00950,SHOP0032,ORD00066,refunded,2025-02-02,"USNV Moore, FPO AE 10184",CUST00430,PAY00430,29,,DISC10,3
CUST00863,LOGI0003,P00715,SHOP0210,ORD00067,refunded,2025-04-14,"643 Mason Passage Suite 019, Cookemouth, RI 13996",CUST00863,PAY00863,393,,WELCOME5,5
CUST00221,LOGI0040,P00794,SHOP0470,ORD00068,completed,2025-02-28,"6902 Linda Shoal, North Catherinetown, IN 85948",CUST00221,PAY00221,355,,WELCOME5,5
CUST00582,LOGI0009,P00452,SHOP0002,ORD00069,cancelled,2025-01-20,"2534 Pittman Isle Suite 386, Reneeburgh, WY 76521",CUST00582,PAY00582,168,AFF00124,,3
CUST00073,LOGI0034,P00720,SHOP0099,ORD00070,cancelled,2025-02-05,"5388 Nicole Mill, Hansenborough, NM 00689",CUST00073,PAY00073,460,,WELCOME5,3
CUST00673,LOGI0018,P00314,SHOP0484,ORD00071,cancelled,2025-01-09,"1201 Byrd Divide Apt. 531, Tracytown, PR 88445",CUST00673,PAY00673,15,,DISC10,4
CUST00935,LOGI0049,P00958,SHOP0078,ORD00072,carted,2025-01-15,"101 Robert Vista Apt. 870, Claudialand, NH 55575",CUST00935,PAY00935,146,,,3
CUST00907,LOGI0041,P00193,SHOP0168,ORD00073,cancelled,2025-05-10,"107 Richard Divide, Carsonmouth, VI 50331",CUST00907,PAY00907,316,AFF00165,,3
CUST00726,LOGI0005,P00949,SHOP0289,ORD00074,completed,2025-03-15,"830 Jones River, Kellystad, VA 70680",CUST00726,PAY00726,268,,,4
CUST00950,LOGI0032,P00092,SHOP0248,ORD00075,carted,2025-04-29,"625 Mccarthy Plaza, Jamesshire, DE 81581",CUST00950,PAY00950,315,,WELCOME5,3
CUST00349,LOGI0024,P00345,SHOP0227,ORD00076,completed,2025-03-03,"33790 Gregory Bypass, Parksland, MN 12480",CUST00349,PAY00349,311,,WELCOME5,5
CUST00958,LOGI0022,P00747,SHOP0009,ORD00077,refunded,2025-02-13,"9014 Sarah Stream Apt. 899, North Angela, WA 95958",CUST00958,PAY00958,411,AFF00171,,1
CUST00950,LOGI0032,P00920,SHOP0385,ORD00078,completed,2025-05-04,"625 Mccarthy Plaza, Jamesshire, DE 81581",CUST00950,PAY00950,356,,DISC10,5
CUST00667,LOGI0018,P00715,SHOP0403,ORD00079,cancelled,2025-03-27,"14976 Lopez Route, North Michelleberg, MP 29646",CUST00667,PAY00667,387,,DISC10,1
CUST00213,LOGI0013,P00036,SHOP0433,ORD00080,cancelled,2025-04-09,"8250 Flynn Trafficway Suite 566, Jeffreytown, SC 76929",CUST00213,PAY00213,42,,,5
CUST00828,LOGI0031,P00970,SHOP0134,ORD00081,completed,2025-04-28,"4918 Michael Port Suite 888, Houseton, MP 56859",CUST00828,PAY00828,71,,WELCOME5,4
CUST00773,LOGI0002,P00095,SHOP0125,ORD00082,completed,2025-02-11,"27149 Owens Branch, Yvonneberg, TX 83220",CUST00773,PAY00773,154,,WELCOME5,4
CUST00329,LOGI0001,P00290,SHOP0045,ORD00083,carted,2025-04-13,"870 Laurie Hill Suite 812, Williamsside, SD 72452",CUST00329,PAY00329,415,,DISC10,1
CUST00109,LOGI0030,P00282,SHOP0255,ORD00084,refunded,2025-04-13,"7509 Travis Shore Apt. 494, North Jill, WY 73430",CUST00109,PAY00109,32,,WELCOME5,3
CUST00965,LOGI0046,P00514,SHOP0264,ORD00085,refunded,2025-01-28,"1839 Gomez Isle, Williammouth, MT 94050",CUST00965,PAY00965,137,,,2
CUST00051,LOGI0031,P00585,SHOP0463,ORD00086,completed,2025-04-14,"431 Christopher Manors Apt. 301, Port Jennifer, AZ 98011",CUST00051,PAY00051,456,,,2
CUST00096,LOGI0023,P00102,SHOP0411,ORD00087,carted,2025-01-05,"6566 Lee Crescent Suite 481, Joditown, IN 68058",CUST00096,PAY00096,222,AFF00141,,4
CUST00353,LOGI0025,P00329,SHOP0115,ORD00088,carted,2025-02-14,"3520 Romero Glen Apt. 366, West Sandra, TX 20148",CUST00353,PAY00353,65,,DISC10,2
CUST00503,LOGI0006,P00859,SHOP0200,ORD00089,refunded,2025-02-28,"136 Hernandez Well Apt. 359, Chadbury, VI 09603",CUST00503,PAY00503,191,,DISC10,1
CUST00855,LOGI0001,P00198,SHOP0187,ORD00090,cancelled,2025-01-04,"544 Leonard Trafficway Suite 456, Gregorystad, OH 07305",CUST00855,PAY00855,114,,,2
CUST00847,LOGI0049,P00534,SHOP0409,ORD00091,carted,2025-01-12,"USNV Dixon, FPO AA 30440",CUST00847,PAY00847,438,,WELCOME5,3
CUST00670,LOGI0025,P00873,SHOP0466,ORD00092,cancelled,2025-04-22,"8216 Cooper Pass, Reneeshire, LA 90522",CUST00670,PAY00670,494,,WELCOME5,3
CUST00135,LOGI0020,P00780,SHOP0339,ORD00093,cancelled,2025-04-15,"318 Chad Tunnel Suite 101, East Alexisburgh, AL 60541",CUST00135,PAY00135,149,,DISC10,4
CUST00924,LOGI0038,P00346,SHOP0132,ORD00094,refunded,2025-01-10,"458 Kathryn Key, Lopezton, AZ 68422",CUST00924,PAY00924,49,,WELCOME5,5
CUST00086,LOGI0042,P00464,SHOP0037,ORD00095,carted,2025-02-12,"6939 Mario Courts Apt. 050, East Jerryland, AL 72295",CUST00086,PAY00086,153,AFF00183,WELCOME5,1
CUST00970,LOGI0016,P00365,SHOP0198,ORD00096,completed,2025-04-11,"19762 Michelle Islands Suite 228, Wadeland, NM 21985",CUST00970,PAY00970,10,,,1
CUST00568,LOGI0000,P00057,SHOP0129,ORD00097,carted,2025-01-15,"28424 Williams Crest Apt. 563, Kathleenburgh, SD 38760",CUST00568,PAY00568,200,,WELCOME5,4
CUST00754,LOGI0042,P00101,SHOP0391,ORD00098,cancelled,2025-01-29,"07240 Connor Spring Apt. 547, Garciafort, IN 46404",CUST00754,PAY00754,402,,WELCOME5,3
CUST00218,LOGI0005,P00170,SHOP0134,ORD00099,carted,2025-03-31,"11466 Samuel Courts, Port Charles, VT 55946",CUST00218,PAY00218,371,,,3
CUST00534,LOGI0030,P00295,SHOP0351,ORD00100,completed,2025-01-20,"1997 John Row, South Emilyport, MA 63046",CUST00534,PAY00534,262,,WELCOME5,1
CUST00011,LOGI0030,P00477,SHOP0438,ORD00101,carted,2025-01-03,"62048 Miller Trail, Port Elizabethfurt, AK 51192",CUST00011,PAY00011,308,,,4
CUST00148,LOGI0004,P00140,SHOP0468,ORD00102,completed,2025-03-02,"3020 Velez Place, East Zacharyside, AS 11646",CUST00148,PAY00148,23,,,2
CUST00508,LOGI0027,P00815,SHOP0158,ORD00103,carted,2025-05-05,"Unit 8647 Box 2961, DPO AP 61378",CUST00508,PAY00508,472,AFF00023,,1
CUST00702,LOGI0021,P00460,SHOP0058,ORD00104,cancelled,2025-05-07,"161 Christopher Spurs, New Matthewtown, NM 29299",CUST00702,PAY00702,49,,,2
CUST00820,LOGI0043,P00970,SHOP0230,ORD00105,cancelled,2025-03-29,"06318 Karen Park, South Matthewborough, AL 05258",CUST00820,PAY00820,38,,WELCOME5,3
CUST00768,LOGI0049,P00995,SHOP0499,ORD00106,cancelled,2025-04-22,"93592 Lopez Locks Suite 406, Cuevasmouth, UT 95256",CUST00768,PAY00768,114,,DISC10,5
CUST00609,LOGI0016,P00778,SHOP0218,ORD00107,completed,2025-01-11,"9500 Mendoza Summit, New Nicholas, MN 68132",CUST00609,PAY00609,409,AFF00167,DISC10,2
CUST00094,LOGI0005,P00816,SHOP0410,ORD00108,completed,2025-01-28,"61102 Chad Lane Suite 684, Jamesbury, MT 14856",CUST00094,PAY00094,466,,WELCOME5,1
CUST00168,LOGI0008,P00571,SHOP0283,ORD00109,refunded,2025-04-26,"80373 Olson Street Suite 972, Cameronview, ND 39045",CUST00168,PAY00168,482,AFF00113,DISC10,4
CUST00541,LOGI0009,P00156,SHOP0106,ORD00110,cancelled,2025-01-13,"658 Audrey Square Apt. 276, Lake Lanceville, MS 15062",CUST00541,PAY00541,105,,DISC10,5
CUST00269,LOGI0042,P00545,SHOP0459,ORD00111,cancelled,2025-02-10,"353 Benjamin Crescent Apt. 044, New Barbarashire, KY 99409",CUST00269,PAY00269,167,,DISC10,2
CUST00450,LOGI0026,P00360,SHOP0157,ORD00112,completed,2025-02-01,"7202 Courtney Summit, New Mark, NY 72224",CUST00450,PAY00450,296,,WELCOME5,5
CUST00534,LOGI0016,P00869,SHOP0159,ORD00113,cancelled,2025-02-03,"1997 John Row, South Emilyport, MA 63046",CUST00534,PAY00534,147,AFF00199,,4
CUST00172,LOGI0021,P00614,SHOP0165,ORD00114,carted,2025-01-23,"814 Brian Divide, Garyhaven, MN 47136",CUST00172,PAY00172,462,AFF00142,,3
CUST00512,LOGI0035,P00987,SHOP0346,ORD00115,cancelled,2025-01-25,"346 Michael Bypass Suite 627, Alexandrafort, NE 46361",CUST00512,PAY00512,54,,DISC10,1
CUST00465,LOGI0031,P00752,SHOP0388,ORD00116,cancelled,2025-03-21,"89531 Hudson Crossing Apt. 189, North Jamesville, OK 71525",CUST00465,PAY00465,168,,,3
CUST00617,LOGI0043,P00406,SHOP0390,ORD00117,carted,2025-03-15,"2963 Rubio Neck Suite 856, East Benjaminstad, ME 20646",CUST00617,PAY00617,139,,,2
CUST00226,LOGI0037,P00357,SHOP0406,ORD00118,refunded,2025-03-21,"9508 Jennifer Pike Suite 272, Andreashire, PA 17786",CUST00226,PAY00226,54,,,1
CUST00599,LOGI0044,P00657,SHOP0197,ORD00119,carted,2025-04-21,"0618 Dougherty Avenue, Johnsonville, LA 63091",CUST00599,PAY00599,491,,WELCOME5,1
CUST00793,LOGI0020,P00322,SHOP0006,ORD00120,completed,2025-03-29,"5462 Michael Road Suite 433, Nicolefurt, GU 70331",CUST00793,PAY00793,207,,WELCOME5,5
CUST00086,LOGI0044,P00224,SHOP0484,ORD00121,carted,2025-03-30,"6939 Mario Courts Apt. 050, East Jerryland, AL 72295",CUST00086,PAY00086,182,,WELCOME5,1
CUST00453,LOGI0018,P00566,SHOP0435,ORD00122,carted,2025-04-27,"08917 Petty Brooks Apt. 258, Port Josephborough, DC 36054",CUST00453,PAY00453,304,,,3
CUST00628,LOGI0023,P00142,SHOP0269,ORD00123,carted,2025-03-22,"684 Stewart Knolls, West Brandy, MN 53547",CUST00628,PAY00628,59,,DISC10,4
CUST00675,LOGI0039,P00201,SHOP0140,ORD00124,completed,2025-01-01,"18240 Williams Island, Danielland, GU 76753",CUST00675,PAY00675,228,,WELCOME5,3
CUST00594,LOGI0006,P00466,SHOP0162,ORD00125,carted,2025-02-05,"256 Connie Landing Suite 627, Angelfort, WA 76534",CUST00594,PAY00594,399,,DISC10,2
CUST00602,LOGI0040,P00105,SHOP0357,ORD00126,completed,2025-04-24,"40934 Justin Center Apt. 650, North Thomasmouth, AS 71662",CUST00602,PAY00602,300,,WELCOME5,1
CUST00691,LOGI0037,P00194,SHOP0244,ORD00127,carted,2025-04-30,"USCGC Bennett, FPO AP 87315",CUST00691,PAY00691,429,,DISC10,3
CUST00508,LOGI0031,P00086,SHOP0353,ORD00128,cancelled,2025-04-13,"Unit 8647 Box 2961, DPO AP 61378",CUST00508,PAY00508,173,AFF00272,DISC10,2
CUST00710,LOGI0044,P00739,SHOP0036,ORD00129,refunded,2025-01-05,"46543 Andrew Trafficway, Murphystad, MA 95351",CUST00710,PAY00710,437,,WELCOME5,4
CUST00098,LOGI0041,P00338,SHOP0286,ORD00130,completed,2025-01-13,"765 Joseph Wall Apt. 659, West Lisa, AR 70685",CUST00098,PAY00098,471,AFF00007,DISC10,5
CUST00452,LOGI0007,P00193,SHOP0168,ORD00131,cancelled,2025-03-29,"75339 Robert Circles, Christophermouth, MH 98504",CUST00452,PAY00452,436,,WELCOME5,1
CUST00623,LOGI0001,P00399,SHOP0120,ORD00132,refunded,2025-03-18,"987 Mendez Mount Apt. 355, Lake Dustin, MD 84609",CUST00623,PAY00623,157,,,1
CUST00106,LOGI0009,P00741,SHOP0059,ORD00133,carted,2025-05-01,"0899 Graham Corners Suite 680, East Suzanne, UT 68672",CUST00106,PAY00106,315,,,5
CUST00387,LOGI0020,P00603,SHOP0424,ORD00134,refunded,2025-04-21,"8294 Erika Fort Suite 792, Port Julian, UT 95209",CUST00387,PAY00387,344,,WELCOME5,1
CUST00206,LOGI0023,P00810,SHOP0153,ORD00135,cancelled,2025-05-05,"24380 Allen Squares Apt. 137, Peterschester, PR 86836",CUST00206,PAY00206,136,,,5
CUST00869,LOGI0016,P00540,SHOP0304,ORD00136,refunded,2025-03-08,"25551 Austin Circle Apt. 291, Duncanside, ME 95970",CUST00869,PAY00869,113,,WELCOME5,2
CUST00536,LOGI0045,P00204,SHOP0300,ORD00137,completed,2025-03-31,"36673 Brian Heights Apt. 911, Michellechester, HI 06483",CUST00536,PAY00536,387,,,4
CUST00423,LOGI0001,P00396,SHOP0388,ORD00138,refunded,2025-02-26,"19791 Leah Street Suite 302, South Shannon, TX 39921",CUST00423,PAY00423,13,,WELCOME5,5
CUST00252,LOGI0020,P00438,SHOP0003,ORD00139,completed,2025-02-21,"81994 Bush Track Suite 682, Williammouth, WA 95601",CUST00252,PAY00252,133,,,2
CUST00293,LOGI0019,P00672,SHOP0281,ORD00140,cancelled,2025-04-13,"803 Terry Hollow, Tonyafort, UT 73714",CUST00293,PAY00293,107,,WELCOME5,3
CUST00348,LOGI0020,P00284,SHOP0426,ORD00141,completed,2025-04-19,"3819 James Highway, West Taylorchester, OH 29852",CUST00348,PAY00348,477,,,5
CUST00158,LOGI0002,P00870,SHOP0305,ORD00142,completed,2025-02-14,"PSC 3662, Box 5664, APO AE 03539",CUST00158,PAY00158,474,AFF00010,WELCOME5,4
CUST00960,LOGI0018,P00362,SHOP0394,ORD00143,completed,2025-02-17,"5020 Jeffrey Route, West Stacey, UT 26463",CUST00960,PAY00960,54,AFF00090,DISC10,5
CUST00191,LOGI0006,P00032,SHOP0029,ORD00144,cancelled,2025-03-19,"246 Amanda Walks Suite 778, Port William, PW 68502",CUST00191,PAY00191,86,,DISC10,1
CUST00541,LOGI0027,P00212,SHOP0421,ORD00145,cancelled,2025-01-16,"658 Audrey Square Apt. 276, Lake Lanceville, MS 15062",CUST00541,PAY00541,77,,,5
CUST00721,LOGI0019,P00065,SHOP0106,ORD00146,completed,2025-05-03,"127 Villegas Shoals, East Hannah, PR 09027",CUST00721,PAY00721,132,AFF00235,WELCOME5,2
CUST00821,LOGI0012,P00912,SHOP0401,ORD00147,refunded,2025-02-28,"992 Patrick Vista, Russellville, VI 24525",CUST00821,PAY00821,93,,WELCOME5,5
CUST00096,LOGI0005,P00051,SHOP0178,ORD00148,completed,2025-04-05,"6566 Lee Crescent Suite 481, Joditown, IN 68058",CUST00096,PAY00096,484,,,5
CUST00020,LOGI0010,P00657,SHOP0202,ORD00149,refunded,2025-02-18,"090 Sims Rapid Apt. 839, Port Patricia, LA 01911",CUST00020,PAY00020,490,,,2
CUST00625,LOGI0009,P00033,SHOP0284,ORD00150,refunded,2025-03-25,"149 Hernandez Road, Lake Michael, AZ 74733",CUST00625,PAY00625,343,,WELCOME5,1
CUST00844,LOGI0043,P00041,SHOP0011,ORD00151,carted,2025-02-06,"809 Marshall Lodge Suite 541, Lynchburgh, WY 42792",CUST00844,PAY00844,110,,DISC10,4
CUST00808,LOGI0024,P00537,SHOP0115,ORD00152,carted,2025-04-10,"22384 Wright Village Suite 309, Jenniferview, DE 67676",CUST00808,PAY00808,476,,,2
CUST00289,LOGI0010,P00453,SHOP0225,ORD00153,completed,2025-01-24,"2438 Helen Mall Suite 552, Kathleentown, NY 47884",CUST00289,PAY00289,142,,DISC10,5
